6422 130254
0 pride 45
1 and 3316
2 prejudice 6
3 by 583
4 jane 267
5 austen 1
6 chapter 56
7 1 1
8 it 1387
9 is 793
10 a 1808
11 truth 23
12 universally 3
13 acknowledged 17
14 , 8291
15 that 1401
16 single 12
17 man 138
18 in 1711
19 possession 8
20 of 3298
21 good 166
22 fortune 35
23 must 271
24 be 1118
25 want 41
26 wife 41
27 . 4520
28 however 127
29 little 176
30 known 51
31 the 3986
32 feelings 77
33 or 269
34 views 11
35 such 355
36 may 172
37 on 644
38 his 1155
39 first 135
40 entering 9
41 neighbourhood 29
42 this 400
43 so 520
44 well 195
45 fixed 21
46 minds 4
47 surrounding 2
48 families 6
49 he 1241
50 considered 21
51 rightful 1
52 property 7
53 some 194
54 one 256
55 other 193
56 their 406
57 daughters 47
58 `` 1466
59 my 609
60 dear 143
61 mr. 719
62 bennet 295
63 '' 1723
64 said 369
65 lady 164
66 to 3711
67 him 667
68 day 129
69 have 738
70 you 1079
71 heard 77
72 netherfield 69
73 park 21
74 let 65
75 at 715
76 last 107
77 ? 389
78 replied 92
79 had 1076
80 not 1393
81 but 903
82 returned 45
83 she 1556
84 ; 1403
85 for 965
86 mrs. 322
87 long 104
88 has 207
89 just 71
90 been 465
91 here 59
92 told 60
93 me 347
94 all 562
95 about 109
96 made 109
97 no 442
98 answer 60
99 do 305
100 know 209
101 who 260
102 taken 30
103 cried 86
104 impatiently 4
105 _you_ 24
106 tell 59
107 i 1799
108 objection 13
109 hearing 20
110 was 1677
111 invitation 34
112 enough 98
113 why 48
114 says 14
115 young 118
116 large 23
117 from 438
118 north 6
119 england 5
120 came 83
121 down 67
122 monday 9
123 chaise 11
124 four 31
125 see 140
126 place 64
127 much 294
128 delighted 19
129 with 979
130 agreed 11
131 morris 1
132 immediately 56
133 take 72
134 before 206
135 michaelmas 2
136 servants 12
137 are 301
138 house 101
139 end 25
140 next 69
141 week 29
142 what 408
143 name 26
144 bingley 278
145 married 57
146 oh 86
147 ! 433
148 sure 93
149 five 29
150 thousand 32
151 year 25
152 fine 28
153 thing 31
154 our 68
155 girls 45
156 how 206
157 can 288
158 affect 3
159 them 405
160 tiresome 1
161 am 280
162 thinking 19
163 marrying 19
164 design 22
165 settling 3
166 nonsense 8
167 talk 29
168 very 457
169 likely 34
170 _may_ 2
171 fall 8
172 love 77
173 therefore 72
174 visit 48
175 as 1071
176 soon 195
177 comes 15
178 occasion 33
179 go 97
180 send 22
181 themselves 31
182 which 485
183 perhaps 67
184 will 358
185 still 60
186 better 86
187 handsome 36
188 any 243
189 like 73
190 best 41
191 party 56
192 flatter 10
193 certainly 65
194 _have_ 1
195 share 12
196 beauty 25
197 pretend 6
198 anything 72
199 extraordinary 10
200 now 176
201 when 339
202 woman 51
203 grown-up 1
204 ought 31
205 give 103
206 over 84
207 her 2004
208 own 165
209 cases 5
210 often 85
211 think 189
212 indeed 87
213 into 129
214 more 288
215 than 256
216 engage 5
217 assure 37
218 consider 31
219 your 364
220 only 193
221 an 330
222 establishment 5
223 would 427
224 sir 75
225 william 44
226 lucas 67
227 determined 28
228 merely 29
229 account 37
230 general 47
231 they 558
232 newcomers 1
233 impossible 40
234 _us_ 2
235 if 312
236 over-scrupulous 1
237 surely 4
238 dare 38
239 say 144
240 glad 37
241 few 68
242 lines 9
243 hearty 2
244 consent 7
245 whichever 2
246 chooses 8
247 though 204
248 throw 8
249 word 46
250 lizzy 72
251 desire 19
252 bit 3
253 others 47
254 half 40
255 nor 63
256 good-humoured 6
257 lydia 157
258 always 104
259 giving 19
260 _her_ 20
261 preference 9
262 none 17
263 recommend 12
264 silly 10
265 ignorant 14
266 something 68
267 quickness 3
268 sisters 70
269 _can_ 1
270 abuse 2
271 children 24
272 way 97
273 delight 19
274 vexing 1
275 compassion 13
276 poor 37
277 nerves 4
278 mistake 8
279 high 16
280 respect 26
281 old 13
282 friends 52
283 mention 29
284 consideration 13
285 these 62
286 twenty 6
287 years 33
288 least 60
289 ah 4
290 suffer 13
291 hope 107
292 get 48
293 live 19
294 many 110
295 men 31
296 come 83
297 use 12
298 us 114
299 should 226
300 since 54
301 depend 22
302 upon 72
303 there 333
304 odd 5
305 mixture 5
306 quick 10
307 parts 5
308 sarcastic 1
309 humour 18
310 reserve 7
311 caprice 4
312 experience 2
313 three-and-twenty 3
314 insufficient 7
315 make 141
316 understand 27
317 character 62
318 mind 53
319 less 69
320 difficult 11
321 develop 1
322 mean 31
323 understanding 20
324 information 23
325 uncertain 2
326 temper 21
327 discontented 2
328 fancied 6
329 herself 213
330 nervous 3
331 business 43
332 life 52
333 its 90
334 solace 1
335 visiting 4
336 news 32
337 2 2
338 among 25
339 earliest 4
340 those 57
341 waited 7
342 intended 17
343 assuring 4
344 till 84
345 evening 65
346 after 187
347 paid 16
348 knowledge 18
349 then 154
350 disclosed 1
351 following 22
352 manner 87
353 observing 12
354 second 23
355 daughter 72
356 employed 8
357 trimming 1
358 hat 2
359 suddenly 15
360 addressed 15
361 : 119
362 we 230
363 _what_ 1
364 likes 9
365 mother 117
366 resentfully 1
367 forget 14
368 mamma 11
369 elizabeth 570
370 shall 135
371 meet 31
372 assemblies 2
373 promised 21
374 introduce 11
375 believe 77
376 two 127
377 nieces 9
378 selfish 3
379 hypocritical 2
380 opinion 62
381 find 54
382 serving 1
383 deigned 3
384 reply 21
385 unable 11
386 contain 5
387 began 54
388 scolding 2
389 n't 10
390 keep 24
391 coughing 1
392 kitty 60
393 heaven 10
394 's 524
395 sake 18
396 tear 2
397 pieces 2
398 discretion 5
399 coughs 1
400 father 115
401 times 20
402 ill. 5
403 cough 2
404 amusement 12
405 fretfully 2
406 ball 34
407 to-morrow 13
408 fortnight 23
409 aye 6
410 does 81
411 back 40
412 advantage 31
413 friend 103
414 acquainted 22
415 myself 81
416 teasing 5
417 honour 37
418 circumspection 2
419 acquaintance 50
420 really 76
421 _we_ 6
422 venture 5
423 somebody 7
424 else 38
425 neices 1
426 stand 9
427 chance 18
428 act 6
429 kindness 27
430 decline 2
431 office 6
432 stared 5
433 meaning 14
434 emphatic 1
435 exclamation 2
436 forms 2
437 introduction 11
438 stress 1
439 laid 7
440 quite 85
441 agree 6
442 _there_ 5
443 mary 35
444 deep 7
445 reflection 8
446 read 38
447 great 132
448 books 13
449 extracts 2
450 wished 34
451 sensible 29
452 knew 49
453 while 69
454 adjusting 1
455 ideas 13
456 continued 49
457 return 44
458 mr 19
459 sick 5
460 sorry 31
461 hear 69
462 _that_ 30
463 did 234
464 morning 74
465 called 38
466 unlucky 9
467 actually 10
468 escape 9
469 astonishment 28
470 ladies 73
471 surpassing 1
472 rest 33
473 tumult 3
474 joy 9
475 declare 8
476 expected 38
477 persuade 17
478 loved 6
479 too 125
480 neglect 10
481 pleased 34
482 joke 3
483 gone 58
484 never 194
485 choose 17
486 spoke 39
487 left 61
488 room 106
489 fatigued 4
490 raptures 6
491 excellent 19
492 door 30
493 shut 5
494 ever 115
495 amends 5
496 either 51
497 matter 26
498 time 185
499 pleasant 21
500 making 33
501 new 23
502 acquaintances 11
503 every 171
504 sakes 2
505 _are_ 1
506 youngest 12
507 dance 32
508 stoutly 1
